unit_id,lon_ctr,lat_ctr,area_km2,t0_reclam_rs,time_since_t0,ndvi_trough_year,ndvi_trough,ndvi_recent,ndvi_recovery,ndvi_overall_slope,phase_v0,dating_confidence,label_method,label_role,note,aml_status_ext
MINE_US_01561,-77.553514,36.910829,0.5349,,,2017,0.367,0.429,0.062,-0.01716,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01562,-115.507539,39.6716,0.5345,,,2000,0.093,0.149,0.056,0.0019,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01563,-87.355725,38.297362,0.5342,2009,15,2009,0.338,0.592,0.255,0.00489,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01564,-81.943592,38.985562,0.5337,,,2012,0.435,0.492,0.057,-0.00274,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01565,-88.056677,38.026802,0.5336,,,2001,0.265,0.325,0.06,0.00104,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01566,-78.791512,40.792001,0.5333,2016,8,2016,0.652,0.768,0.116,-0.00346,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01567,-75.958777,41.292793,0.5331,,,2013,0.377,0.402,0.025,-0.00014,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01568,-115.541325,45.702824,0.533,,,2024,0.448,0.497,0.049,-0.00608,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01569,-96.7047,31.375979,0.5328,,,2012,0.237,0.295,0.058,-0.00763,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01570,-80.98339,40.138289,0.5326,2015,9,2015,0.375,0.482,0.108,-0.01104,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01571,-75.811105,41.305776,0.5321,,,2004,0.346,0.417,0.071,0.00091,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,aml_listed_not_complete
MINE_US_01572,-79.717504,40.496767,0.5308,2011,13,2011,0.462,0.802,0.34,0.00788,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,aml_listed_not_complete
MINE_US_01573,-87.336249,39.292018,0.5308,pre2000,,2001,0.257,0.646,0.389,0.01805,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01574,-81.445575,37.498496,0.5307,,,2012,0.377,0.46,0.083,-0.0102,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01575,-79.207869,40.389101,0.5295,2007,17,2007,0.374,0.526,0.152,0.00481,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01576,-104.701029,42.33233,0.5287,,,2005,0.157,0.208,0.052,0.00172,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01577,-86.304621,33.134756,0.5281,2008,16,2008,0.159,0.262,0.103,-0.00574,early_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01578,-81.740083,38.0261,0.5281,pre2000,,2007,0.618,0.754,0.136,0.00601,stable_restoration,censored_pre2000,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01579,-81.833521,33.489963,0.5275,,,2018,0.141,0.18,0.039,-0.01276,degraded,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01580,-83.722363,36.064739,0.5261,,,2007,0.276,0.372,0.096,0.00165,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01581,-87.429867,38.878654,0.5257,2009,15,2009,0.436,0.548,0.112,-0.00167,stable_restoration,rs_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
MINE_US_01582,-87.375265,33.79747,0.525,,,2019,0.307,0.388,0.082,-0.0215,early_restoration,state_only_no_t0,regimeB_v0_RS_t0,RS_derived,t0 = RS reclamation-onset proxy from NDVI trough; pre2000=left-censored; state_only=undatable in 2000-24 window,no_aml_match
